Date,Predicted Energy,Actual Energy,MSE,RMSE,MAE,R²,Model
2022-07-24,6.96 KWH,8.74 KWH,0.1108,0.3329,0.1979,0.5639,xgboost
2022-07-24,7.31 KWH,8.74 KWH,0.1066,0.3264,0.161,0.5806,Random forest
2022-07-25,13.09 KWH,13.51 KWH,0.1838,0.4287,0.3015,0.6645,xgboost
2022-07-25,12.94 KWH,13.51 KWH,0.0807,0.2841,0.1756,0.8526,Random forest
2022-07-27,11.19 KWH,10.90 KWH,0.1843,0.4293,0.2431,0.6075,xgboost
2022-07-27,12.59 KWH,10.90 KWH,0.1394,0.3733,0.1907,0.7032,Random forest
2022-07-28,7.94 KWH,6.69 KWH,0.1013,0.3183,0.2034,0.6007,xgboost
2022-07-28,6.97 KWH,6.69 KWH,0.0732,0.2705,0.1604,0.7116,Random forest
2022-07-29,16.31 KWH,13.95 KWH,0.217,0.4658,0.2798,0.6685,xgboost
2022-07-29,16.45 KWH,13.95 KWH,0.2147,0.4634,0.2993,0.672,Random forest
2022-08-01,14.43 KWH,18.16 KWH,0.205,0.4528,0.2799,0.7275,xgboost
2022-08-01,13.28 KWH,18.16 KWH,0.1993,0.4464,0.2638,0.7351,Random forest
2022-08-02,7.94 KWH,12.54 KWH,0.3029,0.5504,0.3155,0.3,xgboost
2022-08-02,8.48 KWH,12.54 KWH,0.2648,0.5146,0.2876,0.3881,Random forest
2022-08-03,12.94 KWH,18.99 KWH,0.2619,0.5118,0.3185,0.6654,xgboost
2022-08-03,13.12 KWH,18.99 KWH,0.2988,0.5466,0.3315,0.6183,Random forest
2022-08-04,16.31 KWH,20.34 KWH,0.3213,0.5668,0.3091,0.6713,xgboost
2022-08-04,15.60 KWH,20.34 KWH,0.2448,0.4948,0.2675,0.7496,Random forest
2022-08-05,16.33 KWH,22.44 KWH,0.4937,0.7026,0.4454,0.6067,xgboost
2022-08-05,16.66 KWH,22.44 KWH,0.4703,0.6858,0.4296,0.6253,Random forest
2022-08-06,16.63 KWH,22.31 KWH,0.2517,0.5017,0.3164,0.7748,xgboost
2022-08-06,16.26 KWH,22.31 KWH,0.2892,0.5378,0.3275,0.7412,Random forest
2022-08-07,17.65 KWH,24.00 KWH,0.4166,0.6455,0.361,0.7365,xgboost
2022-08-07,17.44 KWH,24.00 KWH,0.4316,0.6569,0.3896,0.727,Random forest
2022-08-08,19.06 KWH,18.34 KWH,0.2115,0.4599,0.2949,0.7689,xgboost
2022-08-08,18.63 KWH,18.34 KWH,0.2336,0.4834,0.3147,0.7447,Random forest
2022-08-10,17.14 KWH,21.46 KWH,0.248,0.498,0.2483,0.7917,xgboost
2022-08-10,17.53 KWH,21.46 KWH,0.2132,0.4618,0.2417,0.8209,Random forest
2022-08-11,18.74 KWH,20.87 KWH,0.1021,0.3195,0.1968,0.9104,xgboost
2022-08-11,18.64 KWH,20.87 KWH,0.1184,0.3441,0.1899,0.8961,Random forest
2022-08-12,17.29 KWH,22.66 KWH,0.4285,0.6546,0.3766,0.727,xgboost
2022-08-12,17.71 KWH,22.66 KWH,0.4328,0.6579,0.3886,0.7242,Random forest
2022-08-26,14.49 KWH,12.87 KWH,0.3476,0.5896,0.3668,0.2916,xgboost
2022-08-26,15.59 KWH,12.87 KWH,0.303,0.5505,0.3216,0.3825,Random forest
2022-08-27,11.38 KWH,17.19 KWH,0.258,0.508,0.2886,0.7431,xgboost
2022-08-27,16.73 KWH,17.19 KWH,0.2518,0.5018,0.2645,0.7493,Random forest
2022-08-28,8.33 KWH,21.00 KWH,0.788,0.8877,0.5328,0.4094,xgboost
2022-08-28,8.93 KWH,21.00 KWH,0.6971,0.8349,0.5052,0.4776,Random forest
2022-08-29,12.22 KWH,13.99 KWH,0.114,0.3376,0.2025,0.8096,xgboost
2022-08-29,12.82 KWH,13.99 KWH,0.0885,0.2976,0.1855,0.8521,Random forest
2022-08-31,14.48 KWH,19.68 KWH,0.3685,0.607,0.3651,0.6782,xgboost
2022-08-31,14.32 KWH,19.68 KWH,0.2891,0.5377,0.3358,0.7575,Random forest
2022-09-02,7.85 KWH,12.76 KWH,0.3899,0.6244,0.3451,0.4039,xgboost
2022-09-02,8.67 KWH,12.76 KWH,0.3078,0.5548,0.2883,0.5294,Random forest
2022-09-03,4.64 KWH,7.75 KWH,0.0754,0.2746,0.1601,0.5461,xgboost
2022-09-03,4.85 KWH,7.75 KWH,0.0626,0.2502,0.1271,0.6233,Random forest
2022-09-04,5.48 KWH,5.64 KWH,0.0191,0.1381,0.0771,0.8108,xgboost
2022-09-04,5.70 KWH,5.64 KWH,0.022,0.1482,0.0793,0.7823,Random forest
2022-09-05,13.35 KWH,14.81 KWH,0.4383,0.662,0.37,0.561,xgboost
2022-09-05,15.34 KWH,14.81 KWH,0.2951,0.5432,0.3151,0.7044,Random forest
2022-09-06,10.33 KWH,16.45 KWH,0.2835,0.5325,0.2734,0.733,xgboost
2022-09-06,11.49 KWH,16.45 KWH,0.2165,0.4653,0.2304,0.7961,Random forest
2022-09-07,14.31 KWH,15.98 KWH,0.306,0.5532,0.3202,0.5415,xgboost
2022-09-07,14.88 KWH,15.98 KWH,0.256,0.506,0.2937,0.6164,Random forest
2022-09-09,14.83 KWH,11.57 KWH,0.3173,0.5633,0.2765,0.4021,xgboost
2022-09-09,17.00 KWH,11.57 KWH,0.2339,0.4837,0.2798,0.5592,Random forest
2022-09-11,9.94 KWH,10.81 KWH,0.0891,0.2985,0.1461,0.7699,xgboost
2022-09-11,11.49 KWH,10.81 KWH,0.0677,0.2602,0.1373,0.8251,Random forest
2022-09-17,13.74 KWH,17.22 KWH,0.5312,0.7288,0.3965,0.5565,xgboost
2022-09-17,15.02 KWH,17.22 KWH,0.4714,0.6866,0.3847,0.6064,Random forest
2022-09-18,9.89 KWH,12.37 KWH,0.3283,0.5730,0.2957,0.5507,xgboost
2022-09-18,10.94 KWH,12.37 KWH,0.1777,0.4216,0.2404,0.7568,Random forest
